ID,StoreName,PostalCode
0,Digital,NA
12,COLES PEN CENTRE,L2T 2K9
33,COLES NEW SUDBURY CENTRE,P3A 1Z2
34,COLES HUNTSVILLE PLACE MALL,P1H 2A5
35,COLES JACKSON SQUARE,L8P 1A1
46,COLES STATION MALL,P6A 1X3
47,COLES EGLINTON SQUARE,M1L 2K1
50,COLES BONNIE DOON CENTRE,T6C 4E3
54,COLES LOUGHEED TOWN CENTRE,V3J 1N4
56,COLES MIDTOWN PLAZA,S7K 1J9
57,INDIGOSPIRIT MARKET MALL,T3A 0E2
63,COLES SASKATOON MARKET MALL,S7J 2G1
73,COLES PICKERING TOWN CENTRE,L1V 1B8
74,COLES LYNDEN PARK MALL,N3R 6B8
77,COLES COTTONWOOD MALL,V2R 1A1
79,INDIGOSPIRIT THE CORE,T2P 2Y9
82,COLES PINE CENTRE MALL,V2N 2S9
87,COLES SEAWAY MALL,L3C 1M3
88,INDIGOSPIRIT KINGSWAY MALL,T5G 3A6
98,COLES CHERRY LANE SHOPPING CENTRE,V2A 6W6
102,COLES TIMMINS SQUARE,P4R 1A1
104,COLES TAMARACK CENTRE,V1C 3S8
107,COLES VILLAGE GREEN SHOPPING CENTRE,V1T 7G7
108,COLES PARKLAND MALL,S3N 3G7
111,COLES BRUNSWICK SQUARE,E2L 4W3
114,COLES PETER POND MALL,T9H 1L2
117,COLES THE VILLAGE SHOPPING CENTRE,A1E 4N1
121,COLES MCALLISTER PLACE,E2J 3W9
141,COLES WILLOWBROOK SHOPPING CENTRE,V3A 7E9
142,COLES CORNWALL SQUARE,K6H 6M2
146,COLES AVALON MALL,A1B 1W3
148,COLES NORTHGATE SHOPPING CENTRE,P1B 2H3
149,COLES MEDICINE HAT MALL,T1B 2R4
151,INDIGOSPIRIT MAYFLOWER MALL,B1P 6S9
152,COLES HIGHLAND SQUARE,B2H 2J6
153,COLES KILDONAN PLACE,R2C 4J2
154,COLES CORNER BROOK PLAZA,A2H 6L8
157,COLES NORTHGATE MALL,S4R 3R3
159,COLES LAWSON HEIGHTS,S7K 5S6
164,COLES LIME RIDGE MALL,L9A 4W5
168,INDIGOSPIRIT SOUTHGATE CENTRE,T6H 4M8
170,INDIGOSPIRIT PLACE D'ORLEANS,K1C 2L9
173,COLES CAMBRIAN MALL,P6B 4Y5
175,COLES TRURO MALL,B2N 5N6
176,COLES AMHERST CENTRE,B4H 3Z2
196,COLES COUNTY FAIR MALL,C1N 4P7
202,INDIGOSPIRIT WESTLAND MARKET MALL,T7X 3C7
205,COLES ANGRIGNON LE CARREFOUR,H8N 1X1
211,COLES YARMOUTH MALL,B5A 2T5
217,COLES NORTHUMBERLAND MALL,K9A 4H7
218,COLES FESTIVAL MARKETPLACE SHOPPING CENTRE,N5A 6W6
220,COLES PRAIRIE MALL,T8V 3Y2
221,COLES HALIFAX SHOPPING CENTRE,B3L 4R3
229,COLES SEVENOAKS SHOPPING CENTRE,V2S 5A1
234,COLES COUNTY FAIR MALL,B4N 4A9
239,INDIGOSPIRIT GEORGETOWN MARKET PLACE,L7G 4B1
247,COLES ABERDEEN MALL,V1S 1J2
253,INDIGO ST. CLAIR SHORES,N9K 1G5
257,COLES PEMBROKE MALL,K8A 6Y7
259,COLES DRIFTWOOD MALL,V9N 2L8
261,COLES NELSON,V1L 5Z3
262,COLES SHOPPERS MALL,R7A 5C5
264,COLES TOTEM MALL,V1J 5Z2
276,INDIGO BRANT,L7P 1X8
278,INDIGO YONGE AND EGLINTON,M4P 1E4
279,INDIGO SIGNAL HILL,T3H 3P8
280,INDIGO BAY AND BLOOR,M4W 1A5
282,INDIGO PLACE MONTRÉAL TRUST,H3A 3J5
286,INDIGO YORKDALE,M6A 2T9
287,INDIGO TORONTO EATON CENTRE,M5B 2H1
290,INDIGO SOUTH COMMON,T6N 1K8
298,COLES LINDSAY SQUARE,K9V 4Z1
301,COLES CLOVERDALE MALL,M9B 3Y8
308,INDIGOSPIRIT SCARBOROUGH TOWN CENTRE,M1P 4P5
317,COLES BAYSHORE SHOPPING CENTRE,K2B 8C1
344,INDIGOSPIRIT RICHMOND CENTRE,V6Y 2B6
345,COLES BRAMALEA CITY CENTRE,L6T 3R5
369,COLES LAMBTON MALL,N7S 1P8
405,INDIGO EAST POINT,E2J 0A7
406,INDIGO CENTRE AT CIRCLE AND EIGHTH,S7H 0W4
407,INDIGO KENASTON COMMON,R3P 0Y4
408,INDIGO HERITAGE GREENE,L8J 0B4
409,INDIGO MILTON,L9T 6C8
410,INDIGO GRANDVIEW CORNERS,V3Z 0M6
411,INDIGO ERIN MILLS TOWN CENTRE,L5M 4Z5
412,INDIGO SOUTHTRAIL,T2Z 0G4
413,INDIGO NORTH TOWN CENTRE,T5E 6C2
414,INDIGO CROSSIRON,T4A 0G3
415,INDIGO LAVAL,H7N 0A9
421,COLES SCOTIA SQUARE,B3J 1N9
435,COLES WESTSHORE TOWN CENTRE,V9B 5E3
439,COLES BRIDGEWATER MALL,B4V 3A2
451,COLES MASONVILLE PLACE,N6G 3Y9
511,COLES LLOYD MALL,T9V 0A7
529,COLES GEORGIAN MALL,L4M 4Z8
534,COLES CARLINGWOOD SHOPPING CENTRE,K2A 1H2
535,INDIGOSPIRIT EDMONTON INT'L AIRPORT,T9E 0V3
553,COLES FAIRVIEW MALL,M2J 5A7
558,COLES ELGIN CENTRE,N5R 5V5
564,COLES BEACHES,M4L 1J1
566,COLES CHILKOOT CENTRE SHOPPING MALL,Y1A 6T5
581,INDIGOSPIRIT ROYAL BANK PLAZA,M5J 2J3
592,COLES HERITAGE PLACE,N4K 6N7
595,INDIGOSPIRIT MARKVILLE PLACE,L3R 4M9
604,INDIGOSPIRIT 1ST CANADIAN PLACE,M5X 1B5
615,COLES BILLINGS BRIDGE SHOPPING CENTRE,K1H 8K2
616,THE BOOK COMPANY BANK STREET,K1P 5N6
702,INDIGO BARRHAVEN,K2J 5G4
703,INDIGOSPIRIT OAKVILLE,L6J 3J1
704,COLES EDMONTON CITY CENTRE,T5J 2Z2
715,COLES UPPER CANADA MALL,L3Y 4Z1
728,INDIGOSPIRIT MAPLEVIEW SHOPPING CENTRE,L7S 2J8
731,INDIGOSPIRIT SUNNYSIDE MALL,B4A 3Y4
737,INDIGO BROSSARD,J4Y 0B3
739,INDIGO PARK ROYAL,V7T 1A1
740,COLES LONDONDERRY MALL,T5C 3C8
741,COLES OAKVILLE PLACE,L6H 3H6
757,INDIGO THUNDER BAY,P7B 3Z7
758,CHAPTERS WOODBRIDGE,L4L 9C3
759,INDIGO NORTH LONDON,N5X 4C5
761,INDIGO PINECREST,K2C 3Z7
762,INDIGO METROTOWN,V5H 4M1
766,CHAPTERS MARKHAM,L3R 0T9
767,CHAPTERS RIDEAU,K1N 5W8
769,CHAPTERS SOUTH KEYS,K1V 1J5
770,INDIGO DALHOUSIE,T3A 5R8
771,CHAPTERS COQUITLAM,V3B 6J6
774,INDIGO ANCASTER,L9K 1L5
775,CHAPTERS SOUTH POINT,T6J 5X8
780,INDIGO GUELPH,N1G 2X6
782,CHAPTERS VEGA,L5L 5X8
783,CHAPTERS WESTSIDE,T5T 6G7
784,CHAPTERS NEWMARKET,L3Y 6Y9
785,CHAPTERS AJAX,L1Z 1G1
786,CHAPTERS SOUTH LONDON,N6E 1W4
788,INDIGO LANGLEY,V3A 8R6
789,INDIGO GRANVILLE,V6H 3G7
793,CHAPTERS HALIFAX,B3S 1C5
794,INDIGO POINTE-CLAIRE,H9R 5A5
797,CHAPTERS ST. CATHARINES,L2N 2G1
798,INDIGO WINDSOR,N8X 3Y8
902,INDIGO SHERWOOD PARK,T8A 3H9
903,INDIGO KITCHENER,N2C 1X2
905,CHAPTERS ST. VITAL,R2M 5E5
906,CHAPTERS CROWFOOT,T3G 4J8
909,CHAPTERS SHAWNESSY,T2Y 3S5
910,CHAPTERS POLO FESTIVAL,R3G 3P6
912,INDIGO OSHAWA CENTRE,L1J 2K5
913,CHAPTERS MONCTON,E1A 6S5
914,CHAPTERS DARTMOUTH,B3A 4Y8
916,INDIGO KELOWNA,V1Y 6H2
917,CHAPTERS ST. ALBERT,T8N 6T9
920,INDIGO WEST EDMONTON,T5T 4M2
922,CHAPTERS KANATA,K2T 1B9
923,CHAPTERS FREDERICTON,E3C 1A2
924,CHAPTERS RED DEER,T4R 2T4
925,INDIGO SOUTHLAND MALL,S4S 6H7
926,INDIGO INNES,K4A 3T9
927,CHAPTERS BRAMPTON,L6V 4K2
929,CHAPTERS SCARBOROUGH,M1P 5B7
930,CHAPTERS PETERBOROUGH,K9J 1Z5
931,CHAPTERS BELLEVILLE,K8P 3E1
932,CHAPTERS GLOUCESTER,K1J 1G1
933,CHAPTERS KAMLOOPS,V2E 2R7
934,CHAPTERS LETHBRIDGE,T1J 4V7
935,CHAPTERS SUDBURY,P3B 0A2
937,INDIGO CHARLOTTETOWN,C1A 4N8
938,CHAPTERS SPECTRUM,T1Y 7J6
941,INDIGO KINGSTON,K7M 7H4
942,INDIGO CONESTOGA,N2L 5W6
943,CHAPTERS ST. JOHN'S,A1B 1W2
958,INDIGO HILLCREST,L4C 5G2
959,INDIGO BARRIE,L4N 9H5
961,CHAPTERS NANAIMO,V9V 1T7
962,INDIGO CAMBRIDGE,N1R 6B3
963,INDIGO MAYFAIR,V8Z 6E3
964,CHAPTERS CHINOOK,T2H 0K9
965,INDIGO SHERWAY GARDENS,M9C 1B8
975,INDIGO ROBSON,V6E 1A9
976,INDIGO SQUARE ONE,L5B 2C9
977,INDIGO BURLINGTON CENTRE,L7R 3N2
